Fragment,Count,Time (ms),Size (bytes)
Cross.list-name-questionnaireresponses-xml,5,2,0
Cross.list-name-questionnaires,5,1,645
Cross.list-name-questionnaires-json,5,3,670
Cross.list-name-questionnaires-xml,5,3,665
Cross.list-name-relatedpeople,5,0,0
Cross.list-name-relatedpeople-json,5,1,0
Cross.list-name-relatedpeople-xml,5,2,0
Cross.list-name-requestgroups,5,0,0
Cross.list-name-requestgroups-json,5,1,0
Cross.list-name-requestgroups-xml,5,1,0
Cross.list-name-requirements,5,1,0
Cross.list-name-requirements-json,5,2,0
Cross.list-name-requirements-xml,5,2,0
Cross.list-name-researchdefinitions,5,1,0
Cross.list-name-researchdefinitions-json,5,1,0
Cross.list-name-researchdefinitions-xml,5,2,0
Cross.list-name-researchelementdefinitions,5,0,0
Cross.list-name-researchelementdefinitions-json,5,2,0
Cross.list-name-researchelementdefinitions-xml,5,2,0
Cross.list-name-researchstudies,5,0,0
Cross.list-name-researchstudies-json,5,1,0
Cross.list-name-researchstudies-xml,5,2,0
Cross.list-name-researchsubjects,5,0,0
Cross.list-name-researchsubjects-json,5,1,0
Cross.list-name-researchsubjects-xml,5,1,0
Cross.list-name-riskassessments,5,0,0
Cross.list-name-riskassessments-json,5,1,0
Cross.list-name-riskassessments-xml,5,1,0
Cross.list-name-riskevidencesyntheses,5,0,0
Cross.list-name-riskevidencesyntheses-json,5,1,0
Cross.list-name-riskevidencesyntheses-xml,5,2,0
Cross.list-name-schedules,5,0,0
Cross.list-name-schedules-json,5,0,0
Cross.list-name-schedules-xml,5,1,0
Cross.list-name-searchparameters,5,0,0
Cross.list-name-searchparameters-json,5,0,0
Cross.list-name-searchparameters-xml,5,2,0
Cross.list-name-servicerequests,5,0,0
Cross.list-name-servicerequests-json,5,0,0
Cross.list-name-servicerequests-xml,5,2,0
Cross.list-name-slots,5,0,0
Cross.list-name-slots-json,5,0,0
Cross.list-name-slots-xml,5,1,0
Cross.list-name-specimen,5,0,0
Cross.list-name-specimen-json,5,0,0
Cross.list-name-specimen-xml,5,1,0
Cross.list-name-specimendefinitions,5,0,0
Cross.list-name-specimendefinitions-json,5,2,0
Cross.list-name-specimendefinitions-xml,5,2,0
Cross.list-name-structuredefinitions,5,1,450
Cross.list-name-structuredefinitions-json,5,2,475
Cross.list-name-structuredefinitions-xml,5,3,470
Cross.list-name-structuremaps,5,0,0
Cross.list-name-structuremaps-json,5,1,0
Cross.list-name-structuremaps-xml,5,1,0
Cross.list-name-subscriptions,5,0,0
Cross.list-name-subscriptions-json,5,2,0
Cross.list-name-subscriptions-xml,5,2,0
Cross.list-name-subscriptiontopics,5,0,0
Cross.list-name-subscriptiontopics-json,5,1,0
Cross.list-name-subscriptiontopics-xml,5,4,0
Cross.list-name-substancenucleicacids,5,0,0
Cross.list-name-substancenucleicacids-json,5,0,0
Cross.list-name-substancenucleicacids-xml,5,1,0
Cross.list-name-substancepolymers,5,0,0
Cross.list-name-substancepolymers-json,5,1,0
Cross.list-name-substancepolymers-xml,5,2,0
Cross.list-name-substanceproteins,5,0,0
Cross.list-name-substanceproteins-json,5,1,0
Cross.list-name-substanceproteins-xml,5,2,0
Cross.list-name-substancereferenceinformations,5,1,0
Cross.list-name-substancereferenceinformations-json,5,2,0
Cross.list-name-substancereferenceinformations-xml,5,2,0
Cross.list-name-substances,5,0,0
Cross.list-name-substances-json,5,1,0
Cross.list-name-substances-xml,5,2,0
Cross.list-name-substancesourcematerials,5,0,0
Cross.list-name-substancesourcematerials-json,5,1,0
Cross.list-name-substancesourcematerials-xml,5,1,0
Cross.list-name-substancespecifications,5,0,0
Cross.list-name-substancespecifications-json,5,1,0
Cross.list-name-substancespecifications-xml,5,2,0
Cross.list-name-supplydeliveries,5,0,0
Cross.list-name-supplydeliveries-json,5,1,0
Cross.list-name-supplydeliveries-xml,5,3,0
Cross.list-name-supplyrequests,5,1,0
Cross.list-name-supplyrequests-json,5,2,0
Cross.list-name-supplyrequests-xml,5,3,0
Cross.list-name-tasks,5,0,0
Cross.list-name-tasks-json,5,0,0
Cross.list-name-tasks-xml,5,3,0
Cross.list-name-terminologycapabilities,5,0,0
Cross.list-name-terminologycapabilities-json,5,0,0
Cross.list-name-terminologycapabilities-xml,5,0,0
Cross.list-name-testplans,5,0,0
Cross.list-name-testplans-json,5,0,0
Cross.list-name-testplans-xml,5,3,0
Cross.list-name-testreports,5,0,0
Cross.list-name-testreports-json,5,1,0
Cross.list-name-testreports-xml,5,2,0
Cross.list-name-testscripts,5,0,0
Cross.list-name-testscripts-json,5,1,0
Cross.list-name-testscripts-xml,5,3,0
Cross.list-name-valuesets,5,1,940
Cross.list-name-valuesets-json,5,1,965
Cross.list-name-valuesets-xml,5,1,960
Cross.list-name-verificationresults,5,0,0
Cross.list-name-verificationresults-json,5,2,0
Cross.list-name-verificationresults-xml,5,2,0
Cross.list-name-visionprescriptions,5,0,0
Cross.list-name-visionprescriptions-json,5,0,0
Cross.list-name-visionprescriptions-xml,5,1,0
Cross.list-namingsystems,5,0,0
Cross.list-namingsystems-json,5,1,0
Cross.list-namingsystems-xml,5,2,0
Cross.list-nutritionorders,5,0,0
Cross.list-nutritionorders-json,5,1,0
Cross.list-nutritionorders-xml,5,3,0
Cross.list-observationdefinitions,5,0,0
Cross.list-observationdefinitions-json,5,2,0
Cross.list-observationdefinitions-xml,5,2,0
Cross.list-observations,5,0,0
Cross.list-observations-json,5,1,0
Cross.list-observations-xml,5,1,0
Cross.list-operationdefinitions,5,1,0
Cross.list-operationdefinitions-json,5,1,0
Cross.list-operationdefinitions-xml,5,2,0
Cross.list-operationoutcomes,5,0,0
Cross.list-operationoutcomes-json,5,1,0
Cross.list-operationoutcomes-xml,5,1,0
Cross.list-organizationaffiliations,5,0,0
Cross.list-organizationaffiliations-json,5,0,0
Cross.list-organizationaffiliations-xml,5,2,0
Cross.list-organizations,5,2,0
Cross.list-organizations-json,5,2,0
Cross.list-organizations-xml,5,2,0
Cross.list-parameters,5,0,0
Cross.list-parameters-json,5,0,0
Cross.list-parameters-xml,5,0,0
Cross.list-patients,5,1,570
Cross.list-patients-json,5,3,595
Cross.list-patients-xml,5,4,590
Cross.list-paymentnotices,5,1,0
Cross.list-paymentnotices-json,5,2,0
Cross.list-paymentnotices-xml,5,2,0
Cross.list-paymentreconciliations,5,0,0
Cross.list-paymentreconciliations-json,5,2,0
Cross.list-paymentreconciliations-xml,5,3,0
Cross.list-people,5,0,0
Cross.list-people-json,5,1,0
Cross.list-people-xml,5,2,0
Cross.list-plandefinitions,5,0,0
Cross.list-plandefinitions-json,5,1,0
Cross.list-plandefinitions-xml,5,1,0
Cross.list-practitionerroles,5,0,0
Cross.list-practitionerroles-json,5,0,0
Cross.list-practitionerroles-xml,5,1,0
Cross.list-practitioners,5,0,0
Cross.list-practitioners-json,5,2,0
Cross.list-practitioners-xml,5,2,0
Cross.list-procedures,5,0,0
Cross.list-procedures-json,5,2,0
Cross.list-procedures-xml,5,2,0
Cross.list-profiles,5,1,450
Cross.list-profiles-mm,5,1,450
Cross.list-provenances,5,1,0
Cross.list-provenances-json,5,2,0
Cross.list-provenances-xml,5,2,0
Cross.list-questionnaireresponses,5,1,0
Cross.list-questionnaireresponses-json,5,2,0
Cross.list-questionnaireresponses-xml,5,3,0
Cross.list-questionnaires,5,0,645
Cross.list-questionnaires-json,5,1,670
Cross.list-questionnaires-xml,5,4,665
Cross.list-relatedpeople,5,0,0
Cross.list-relatedpeople-json,5,2,0
Cross.list-relatedpeople-xml,5,2,0
Cross.list-requestgroups,5,1,0
Cross.list-requestgroups-json,5,2,0
Cross.list-requestgroups-xml,5,3,0
Cross.list-requirements,5,0,0
Cross.list-requirements-json,5,1,0
Cross.list-requirements-xml,5,2,0
Cross.list-researchdefinitions,5,0,0
Cross.list-researchdefinitions-json,5,0,0
Cross.list-researchdefinitions-xml,5,0,0
Cross.list-researchelementdefinitions,5,0,0
Cross.list-researchelementdefinitions-json,5,0,0
Cross.list-researchelementdefinitions-xml,5,2,0
Cross.list-researchstudies,5,0,0
Cross.list-researchstudies-json,5,1,0
Cross.list-researchstudies-xml,5,1,0
Cross.list-researchsubjects,5,1,0
Cross.list-researchsubjects-json,5,1,0
Cross.list-researchsubjects-xml,5,1,0
Cross.list-riskassessments,5,0,0
Cross.list-riskassessments-json,5,0,0
Cross.list-riskassessments-xml,5,0,0
Cross.list-riskevidencesyntheses,5,0,0
Cross.list-riskevidencesyntheses-json,5,1,0
Cross.list-riskevidencesyntheses-xml,5,1,0
Cross.list-schedules,5,0,0
Cross.list-schedules-json,5,1,0
Cross.list-schedules-xml,5,1,0
Cross.list-searchparameters,5,0,0
Cross.list-searchparameters-json,5,0,0
Cross.list-searchparameters-xml,5,1,0
Cross.list-servicerequests,5,0,0
Cross.list-servicerequests-json,5,0,0
Cross.list-servicerequests-xml,5,2,0
Cross.list-simple-accounts,5,1,0
Cross.list-simple-accounts-json,5,1,0
Cross.list-simple-accounts-xml,5,1,0
Cross.list-simple-activitydefinitions,5,0,0
Cross.list-simple-activitydefinitions-json,5,0,0
Cross.list-simple-activitydefinitions-xml,5,1,0
Cross.list-simple-actordefinitions,5,0,0
Cross.list-simple-actordefinitions-json,5,2,0
Cross.list-simple-actordefinitions-xml,5,3,0
Cross.list-simple-adverseevents,5,2,0
Cross.list-simple-adverseevents-json,5,3,0
Cross.list-simple-adverseevents-xml,5,4,0
Cross.list-simple-allergyintolerances,5,0,0
Cross.list-simple-allergyintolerances-json,5,1,0
Cross.list-simple-allergyintolerances-xml,5,2,0
Cross.list-simple-appointmentresponses,5,0,0
Cross.list-simple-appointmentresponses-json,5,0,0
Cross.list-simple-appointmentresponses-xml,5,2,0
Cross.list-simple-appointments,5,2,0
Cross.list-simple-appointments-json,5,4,0
Cross.list-simple-appointments-xml,5,5,0
Cross.list-simple-auditevents,5,0,0
Cross.list-simple-auditevents-json,5,0,0
Cross.list-simple-auditevents-xml,5,0,0
Cross.list-simple-basics,5,0,0
Cross.list-simple-basics-json,5,0,0
Cross.list-simple-basics-xml,5,0,0
Cross.list-simple-binaries,5,0,0
Cross.list-simple-binaries-json,5,1,0
Cross.list-simple-binaries-xml,5,2,0
Cross.list-simple-biologicallyderivedproducts,5,3,0
Cross.list-simple-biologicallyderivedproducts-json,5,3,0
Cross.list-simple-biologicallyderivedproducts-xml,5,5,0
Cross.list-simple-bodystructures,5,0,0
Cross.list-simple-bodystructures-json,5,3,0
Cross.list-simple-bodystructures-xml,5,3,0
Cross.list-simple-bundles,5,1,0
Cross.list-simple-bundles-json,5,1,0
Cross.list-simple-bundles-xml,5,1,0
Cross.list-simple-byid-accounts,5,0,0
Cross.list-simple-byid-accounts-json,5,5,0
Cross.list-simple-byid-accounts-xml,5,5,0
Cross.list-simple-byid-activitydefinitions,5,1,0
Cross.list-simple-byid-activitydefinitions-json,5,2,0
Cross.list-simple-byid-activitydefinitions-xml,5,4,0
Cross.list-simple-byid-actordefinitions,5,0,0
Cross.list-simple-byid-actordefinitions-json,5,2,0
Cross.list-simple-byid-actordefinitions-xml,5,2,0
Cross.list-simple-byid-adverseevents,5,1,0
Cross.list-simple-byid-adverseevents-json,5,2,0
Cross.list-simple-byid-adverseevents-xml,5,3,0
Cross.list-simple-byid-allergyintolerances,5,0,0
Cross.list-simple-byid-allergyintolerances-json,5,0,0
Cross.list-simple-byid-allergyintolerances-xml,5,1,0
Cross.list-simple-byid-appointmentresponses,5,0,0
Cross.list-simple-byid-appointmentresponses-json,5,1,0
Cross.list-simple-byid-appointmentresponses-xml,5,1,0
Cross.list-simple-byid-appointments,5,0,0
Cross.list-simple-byid-appointments-json,5,0,0
Cross.list-simple-byid-appointments-xml,5,1,0
Cross.list-simple-byid-auditevents,5,3,0
Cross.list-simple-byid-auditevents-json,5,3,0
Cross.list-simple-byid-auditevents-xml,5,3,0
Cross.list-simple-byid-basics,5,0,0
Cross.list-simple-byid-basics-json,5,2,0
Cross.list-simple-byid-basics-xml,5,3,0
Cross.list-simple-byid-binaries,5,0,0
Cross.list-simple-byid-binaries-json,5,1,0
Cross.list-simple-byid-binaries-xml,5,2,0
Cross.list-simple-byid-biologicallyderivedproducts,5,0,0
Cross.list-simple-byid-biologicallyderivedproducts-json,5,1,0
Cross.list-simple-byid-biologicallyderivedproducts-xml,5,2,0
Cross.list-simple-byid-bodystructures,5,0,0
Cross.list-simple-byid-bodystructures-json,5,1,0
Cross.list-simple-byid-bodystructures-xml,5,3,0
Cross.list-simple-byid-bundles,5,0,0
Cross.list-simple-byid-bundles-json,5,3,0
Cross.list-simple-byid-bundles-xml,5,4,0
Cross.list-simple-byid-capabilitystatements,5,0,0
Cross.list-simple-byid-capabilitystatements-json,5,2,0
Cross.list-simple-byid-capabilitystatements-xml,5,4,0
Cross.list-simple-byid-careplans,5,1,0
Cross.list-simple-byid-careplans-json,5,3,0
Cross.list-simple-byid-careplans-xml,5,4,0
Cross.list-simple-byid-careteams,5,1,0
Cross.list-simple-byid-careteams-json,5,2,0
Cross.list-simple-byid-careteams-xml,5,3,0
Cross.list-simple-byid-catalogentries,5,0,0
Cross.list-simple-byid-catalogentries-json,5,1,0
Cross.list-simple-byid-catalogentries-xml,5,2,0
Cross.list-simple-byid-chargeitemdefinitions,5,0,0
Cross.list-simple-byid-chargeitemdefinitions-json,5,0,0
Cross.list-simple-byid-chargeitemdefinitions-xml,5,0,0
Cross.list-simple-byid-chargeitems,5,1,0
Cross.list-simple-byid-chargeitems-json,5,2,0
Cross.list-simple-byid-chargeitems-xml,5,3,0
Cross.list-simple-byid-claimresponses,5,0,0
Cross.list-simple-byid-claimresponses-json,5,1,0
Cross.list-simple-byid-claimresponses-xml,5,1,0
Cross.list-simple-byid-claims,5,0,0
Cross.list-simple-byid-claims-json,5,0,0
Cross.list-simple-byid-claims-xml,5,0,0
Cross.list-simple-byid-clinicalimpressions,5,0,0
Cross.list-simple-byid-clinicalimpressions-json,5,1,0
Cross.list-simple-byid-clinicalimpressions-xml,5,2,0
Cross.list-simple-byid-codesystems,5,1,0
Cross.list-simple-byid-codesystems-json,5,1,0
Cross.list-simple-byid-codesystems-xml,5,2,0
Cross.list-simple-byid-communicationrequests,5,0,0
Cross.list-simple-byid-communicationrequests-json,5,2,0
Cross.list-simple-byid-communicationrequests-xml,5,3,0
Cross.list-simple-byid-communications,5,1,0
Cross.list-simple-byid-communications-json,5,1,0
Cross.list-simple-byid-communications-xml,5,1,0
Cross.list-simple-byid-compartmentdefinitions,5,0,0
Cross.list-simple-byid-compartmentdefinitions-json,5,1,0
Cross.list-simple-byid-compartmentdefinitions-xml,5,1,0
Cross.list-simple-byid-compositions,5,1,0
Cross.list-simple-byid-compositions-json,5,1,0
Cross.list-simple-byid-compositions-xml,5,2,0
Cross.list-simple-byid-conceptmaps,5,0,0
Cross.list-simple-byid-conceptmaps-json,5,2,0
Cross.list-simple-byid-conceptmaps-xml,5,3,0
Cross.list-simple-byid-conditions,5,1,0
Cross.list-simple-byid-conditions-json,5,1,0
Cross.list-simple-byid-conditions-xml,5,1,0
Cross.list-simple-byid-consents,5,1,0
Cross.list-simple-byid-consents-json,5,1,0
Cross.list-simple-byid-consents-xml,5,1,0
Cross.list-simple-byid-contracts,5,0,0
Cross.list-simple-byid-contracts-json,5,0,0
Cross.list-simple-byid-contracts-xml,5,1,0
Cross.list-simple-byid-coverageeligibilityrequests,5,1,0
Cross.list-simple-byid-coverageeligibilityrequests-json,5,2,0
Cross.list-simple-byid-coverageeligibilityrequests-xml,5,2,0
Cross.list-simple-byid-coverageeligibilityresponses,5,2,0
Cross.list-simple-byid-coverageeligibilityresponses-json,5,2,0
Cross.list-simple-byid-coverageeligibilityresponses-xml,5,2,0
Cross.list-simple-byid-coverages,5,0,0
Cross.list-simple-byid-coverages-json,5,1,0
Cross.list-simple-byid-coverages-xml,5,3,0
Cross.list-simple-byid-detectedissues,5,0,0
Cross.list-simple-byid-detectedissues-json,5,0,0
Cross.list-simple-byid-detectedissues-xml,5,0,0
Cross.list-simple-byid-devicedefinitions,5,0,0
Cross.list-simple-byid-devicedefinitions-json,5,0,0
Cross.list-simple-byid-devicedefinitions-xml,5,1,0
Cross.list-simple-byid-devicemetrics,5,0,0
Cross.list-simple-byid-devicemetrics-json,5,0,0
Cross.list-simple-byid-devicemetrics-xml,5,2,0
Cross.list-simple-byid-devicerequests,5,2,0
Cross.list-simple-byid-devicerequests-json,5,2,0
Cross.list-simple-byid-devicerequests-xml,5,3,0
Cross.list-simple-byid-devices,5,1,0
Cross.list-simple-byid-devices-json,5,2,0
Cross.list-simple-byid-devices-xml,5,3,0
Cross.list-simple-byid-deviceusestatements,5,1,0
Cross.list-simple-byid-deviceusestatements-json,5,2,0
Cross.list-simple-byid-deviceusestatements-xml,5,3,0
Cross.list-simple-byid-diagnosticreports,5,0,0
Cross.list-simple-byid-diagnosticreports-json,5,2,0
Cross.list-simple-byid-diagnosticreports-xml,5,2,0
Cross.list-simple-byid-documentmanifests,5,2,0
Cross.list-simple-byid-documentmanifests-json,5,4,0
Cross.list-simple-byid-documentmanifests-xml,5,5,0
Cross.list-simple-byid-documentreferences,5,1,0
Cross.list-simple-byid-documentreferences-json,5,1,0
Cross.list-simple-byid-documentreferences-xml,5,2,0
Cross.list-simple-byid-domainresources,5,1,0
Cross.list-simple-byid-domainresources-json,5,1,0
Cross.list-simple-byid-domainresources-xml,5,1,0
Cross.list-simple-byid-effectevidencesyntheses,5,0,0
Cross.list-simple-byid-effectevidencesyntheses-json,5,1,0
Cross.list-simple-byid-effectevidencesyntheses-xml,5,2,0
Cross.list-simple-byid-encounters,5,0,0
Cross.list-simple-byid-encounters-json,5,0,0
Cross.list-simple-byid-encounters-xml,5,1,0
Cross.list-simple-byid-endpoints,5,0,0
Cross.list-simple-byid-endpoints-json,5,0,0
Cross.list-simple-byid-endpoints-xml,5,0,0
Cross.list-simple-byid-enrollmentrequests,5,0,0
Cross.list-simple-byid-enrollmentrequests-json,5,4,0
Cross.list-simple-byid-enrollmentrequests-xml,5,4,0
Cross.list-simple-byid-enrollmentresponses,5,1,0
Cross.list-simple-byid-enrollmentresponses-json,5,2,0
Cross.list-simple-byid-enrollmentresponses-xml,5,2,0
Cross.list-simple-byid-episodeofcares,5,0,0
Cross.list-simple-byid-episodeofcares-json,5,0,0
Cross.list-simple-byid-episodeofcares-xml,5,1,0
Cross.list-simple-byid-eventdefinitions,5,0,0
Cross.list-simple-byid-eventdefinitions-json,5,0,0
Cross.list-simple-byid-eventdefinitions-xml,5,1,0
Cross.list-simple-byid-evidences,5,0,0
Cross.list-simple-byid-evidences-json,5,0,0
Cross.list-simple-byid-evidences-xml,5,1,0
Cross.list-simple-byid-evidencevariables,5,1,0
Cross.list-simple-byid-evidencevariables-json,5,1,0
Cross.list-simple-byid-evidencevariables-xml,5,1,0
Cross.list-simple-byid-examplescenarios,5,0,0
Cross.list-simple-byid-examplescenarios-json,5,0,0
Cross.list-simple-byid-examplescenarios-xml,5,2,0
Cross.list-simple-byid-explanationofbenefits,5,0,0
Cross.list-simple-byid-explanationofbenefits-json,5,1,0
Cross.list-simple-byid-explanationofbenefits-xml,5,2,0
Cross.list-simple-byid-familymemberhistories,5,0,0
Cross.list-simple-byid-familymemberhistories-json,5,1,0
Cross.list-simple-byid-familymemberhistories-xml,5,2,0
Cross.list-simple-byid-flags,5,1,0
Cross.list-simple-byid-flags-json,5,1,0
Cross.list-simple-byid-flags-xml,5,2,0
Cross.list-simple-byid-goals,5,0,0
Cross.list-simple-byid-goals-json,5,2,0
Cross.list-simple-byid-goals-xml,5,3,0
Cross.list-simple-byid-graphdefinitions,5,0,0
Cross.list-simple-byid-graphdefinitions-json,5,1,0
Cross.list-simple-byid-graphdefinitions-xml,5,2,0
Cross.list-simple-byid-groups,5,1,0
Cross.list-simple-byid-groups-json,5,1,0
Cross.list-simple-byid-groups-xml,5,1,0
Cross.list-simple-byid-guidanceresponses,5,0,0
Cross.list-simple-byid-guidanceresponses-json,5,0,0
Cross.list-simple-byid-guidanceresponses-xml,5,0,0
Cross.list-simple-byid-healthcareservices,5,0,0
Cross.list-simple-byid-healthcareservices-json,5,0,0
Cross.list-simple-byid-healthcareservices-xml,5,0,0
Cross.list-simple-byid-imagingstudies,5,0,0
Cross.list-simple-byid-imagingstudies-json,5,1,0
Cross.list-simple-byid-imagingstudies-xml,5,1,0
Cross.list-simple-byid-immunizationevaluations,5,1,0
Cross.list-simple-byid-immunizationevaluations-json,5,2,0
Cross.list-simple-byid-immunizationevaluations-xml,5,3,0
Cross.list-simple-byid-immunizationrecommendations,5,0,0
Cross.list-simple-byid-immunizationrecommendations-json,5,0,0
Cross.list-simple-byid-immunizationrecommendations-xml,5,3,0
Cross.list-simple-byid-immunizations,5,3,0
Cross.list-simple-byid-immunizations-json,5,3,0
Cross.list-simple-byid-immunizations-xml,5,3,0
Cross.list-simple-byid-implementationguides,5,1,285
Cross.list-simple-byid-implementationguides-json,5,1,310
Cross.list-simple-byid-implementationguides-xml,5,2,305
Cross.list-simple-byid-insuranceplans,5,2,0
Cross.list-simple-byid-insuranceplans-json,5,2,0
Cross.list-simple-byid-insuranceplans-xml,5,3,0
Cross.list-simple-byid-invoices,5,0,0
Cross.list-simple-byid-invoices-json,5,0,0
Cross.list-simple-byid-invoices-xml,5,1,0
Cross.list-simple-byid-libraries,5,0,0
Cross.list-simple-byid-libraries-json,5,1,0
Cross.list-simple-byid-libraries-xml,5,1,0
Cross.list-simple-byid-linkages,5,0,0
Cross.list-simple-byid-linkages-json,5,1,0
Cross.list-simple-byid-linkages-xml,5,2,0
Cross.list-simple-byid-lists,5,0,0
Cross.list-simple-byid-lists-json,5,0,0
Cross.list-simple-byid-lists-xml,5,2,0
Cross.list-simple-byid-locations,5,0,0
Cross.list-simple-byid-locations-json,5,0,0
Cross.list-simple-byid-locations-xml,5,2,0
Cross.list-simple-byid-measurereports,5,0,0
Cross.list-simple-byid-measurereports-json,5,1,0
Cross.list-simple-byid-measurereports-xml,5,2,0
Cross.list-simple-byid-measures,5,0,0
Cross.list-simple-byid-measures-json,5,0,0
Cross.list-simple-byid-measures-xml,5,0,0
Cross.list-simple-byid-media,5,0,0
Cross.list-simple-byid-media-json,5,2,0
Cross.list-simple-byid-media-xml,5,2,0
Cross.list-simple-byid-medicationadministrations,5,0,0
Cross.list-simple-byid-medicationadministrations-json,5,1,0
Cross.list-simple-byid-medicationadministrations-xml,5,1,0
Cross.list-simple-byid-medicationdispenses,5,2,0
Cross.list-simple-byid-medicationdispenses-json,5,2,0
Cross.list-simple-byid-medicationdispenses-xml,5,3,0
Cross.list-simple-byid-medicationknowledges,5,0,0
Cross.list-simple-byid-medicationknowledges-json,5,0,0
Cross.list-simple-byid-medicationknowledges-xml,5,2,0
Cross.list-simple-byid-medicationrequests,5,0,0
Cross.list-simple-byid-medicationrequests-json,5,0,0
Cross.list-simple-byid-medicationrequests-xml,5,2,0
Cross.list-simple-byid-medications,5,0,0
Cross.list-simple-byid-medications-json,5,0,0
Cross.list-simple-byid-medications-xml,5,2,0
Cross.list-simple-byid-medicationstatements,5,1,0
Cross.list-simple-byid-medicationstatements-json,5,2,0
Cross.list-simple-byid-medicationstatements-xml,5,2,0
Cross.list-simple-byid-medicinalproductauthorizations,5,1,0
Cross.list-simple-byid-medicinalproductauthorizations-json,5,2,0
Cross.list-simple-byid-medicinalproductauthorizations-xml,5,3,0
Cross.list-simple-byid-medicinalproductcontraindications,5,1,0
Cross.list-simple-byid-medicinalproductcontraindications-json,5,1,0
Cross.list-simple-byid-medicinalproductcontraindications-xml,5,4,0
Cross.list-simple-byid-medicinalproductindications,5,1,0
Cross.list-simple-byid-medicinalproductindications-json,5,2,0
Cross.list-simple-byid-medicinalproductindications-xml,5,3,0
Cross.list-simple-byid-medicinalproductingredients,5,1,0
Cross.list-simple-byid-medicinalproductingredients-json,5,1,0
Cross.list-simple-byid-medicinalproductingredients-xml,5,2,0
Cross.list-simple-byid-medicinalproductinteractions,5,1,0
Cross.list-simple-byid-medicinalproductinteractions-json,5,1,0
Cross.list-simple-byid-medicinalproductinteractions-xml,5,3,0
Cross.list-simple-byid-medicinalproductmanufactureds,5,0,0
Cross.list-simple-byid-medicinalproductmanufactureds-json,5,0,0
Cross.list-simple-byid-medicinalproductmanufactureds-xml,5,2,0
Cross.list-simple-byid-medicinalproductpackageds,5,0,0
Cross.list-simple-byid-medicinalproductpackageds-json,5,0,0
Cross.list-simple-byid-medicinalproductpackageds-xml,5,0,0
Cross.list-simple-byid-medicinalproductpharmaceuticals,5,3,0
Cross.list-simple-byid-medicinalproductpharmaceuticals-json,5,3,0
Cross.list-simple-byid-medicinalproductpharmaceuticals-xml,5,4,0
Cross.list-simple-byid-medicinalproducts,5,0,0
Cross.list-simple-byid-medicinalproducts-json,5,1,0
Cross.list-simple-byid-medicinalproducts-xml,5,2,0
Cross.list-simple-byid-medicinalproductundesirableeffects,5,1,0
Cross.list-simple-byid-medicinalproductundesirableeffects-json,5,1,0
Cross.list-simple-byid-medicinalproductundesirableeffects-xml,5,1,0
Cross.list-simple-byid-messagedefinitions,5,1,0
Cross.list-simple-byid-messagedefinitions-json,5,1,0
Cross.list-simple-byid-messagedefinitions-xml,5,1,0
Cross.list-simple-byid-messageheaders,5,0,0
Cross.list-simple-byid-messageheaders-json,5,2,0
Cross.list-simple-byid-messageheaders-xml,5,3,0
Cross.list-simple-byid-molecularsequences,5,0,0
Cross.list-simple-byid-molecularsequences-json,5,0,0
Cross.list-simple-byid-molecularsequences-xml,5,0,0
Cross.list-simple-byid-namingsystems,5,0,0
Cross.list-simple-byid-namingsystems-json,5,2,0
Cross.list-simple-byid-namingsystems-xml,5,3,0
Cross.list-simple-byid-nutritionorders,5,0,0
Cross.list-simple-byid-nutritionorders-json,5,1,0
Cross.list-simple-byid-nutritionorders-xml,5,2,0
Cross.list-simple-byid-observationdefinitions,5,2,0
Cross.list-simple-byid-observationdefinitions-json,5,2,0
Cross.list-simple-byid-observationdefinitions-xml,5,4,0
Cross.list-simple-byid-observations,5,1,0
Cross.list-simple-byid-observations-json,5,2,0
Cross.list-simple-byid-observations-xml,5,4,0
Cross.list-simple-byid-operationdefinitions,5,1,0
Cross.list-simple-byid-operationdefinitions-json,5,1,0
Cross.list-simple-byid-operationdefinitions-xml,5,1,0
Cross.list-simple-byid-operationoutcomes,5,0,0
Cross.list-simple-byid-operationoutcomes-json,5,1,0
Cross.list-simple-byid-operationoutcomes-xml,5,2,0
Cross.list-simple-byid-organizationaffiliations,5,0,0
Cross.list-simple-byid-organizationaffiliations-json,5,1,0
Cross.list-simple-byid-organizationaffiliations-xml,5,3,0
Cross.list-simple-byid-organizations,5,0,0
Cross.list-simple-byid-organizations-json,5,2,0
Cross.list-simple-byid-organizations-xml,5,2,0
Cross.list-simple-byid-parameters,5,0,0
Cross.list-simple-byid-parameters-json,5,0,0
Cross.list-simple-byid-parameters-xml,5,1,0
Cross.list-simple-byid-patients,5,0,330
Cross.list-simple-byid-patients-json,5,1,355
Cross.list-simple-byid-patients-xml,5,1,350
Cross.list-simple-byid-paymentnotices,5,0,0
Cross.list-simple-byid-paymentnotices-json,5,1,0
Cross.list-simple-byid-paymentnotices-xml,5,2,0
Cross.list-simple-byid-paymentreconciliations,5,0,0
Cross.list-simple-byid-paymentreconciliations-json,5,2,0
Cross.list-simple-byid-paymentreconciliations-xml,5,2,0
Cross.list-simple-byid-people,5,1,0
Cross.list-simple-byid-people-json,5,2,0
Cross.list-simple-byid-people-xml,5,3,0
Cross.list-simple-byid-plandefinitions,5,0,0
Cross.list-simple-byid-plandefinitions-json,5,0,0
Cross.list-simple-byid-plandefinitions-xml,5,2,0
Cross.list-simple-byid-practitionerroles,5,1,0
